Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Face Mask,ORIGINS,Dragon Fruit Brightening Superfruit Mask,27,3.8,"Water, Dimethicone, Butylene Glycol, Glycerin, Trisiloxane, Juglans Regia (Walnut) Shell Powder, Citrus Aurantium Dulcis (Orange) Peel Oil*, Citrus Limon (Lemon) Peel Oil*, Citrus Reticulata (Tangerine) Leaf Oil*, Citrus Aurantifolia (Lime) Oil*, Cananga Odorata Flower Oil*, Ribes Nigrum (Black Currant) Seed Oil*, Pelargonium Graveolens Flower Oil*, Amyris Balsamifera Bark Oil*, Dipteryx Odorata Seed Extract, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Triethyl Citrate,Vanillin, Limonene, Linalool, Citral, Coumarin, Geraniol, Hylocereus Undatus Fruit Extract, Trehalose, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sucrose**, Gelidiella Acerosa Extract, Hypnea Musciformis (Algae) Extract, Caffeine, Sodium Hyaluronate, Sorbitol, Oleth-10, Caprylyl Glycol, Raspberry Ketone, Tocopheryl Acetate, Tetrahexyldecyl Ascorbate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Hexylene Glycol, Phenoxyethanol, Bht, Titanium Dioxide (Ci 77891), Red 33 (Ci 17200), Red 4 (Ci 14700).",1,1,1,1,0
Cleanser,CAUDALIE,Make-Up Removing Cleansing Oil,28,4.4,"Helianthus Annuus (Sunflower) Seed Oil*, Polyglyceryl-4 Oleate*, Caprylic/Capric Triglyceride*, Ricinus Communis (Castor) Seed Oil*, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, Vitis Vinifera (Grape) Seed Oil*, Tocopherol*, Fragrance*. *Plant origin.",1,1,1,1,1
Treatment,HERBIVORE,Prism Exfoliating Glow Potion,62,4.3,"Aloe Barbadensis (Aloe Vera) Leaf Juice, Sodium Hyaluronate, Rosa Damascena (Rose) Flower Water, Glycerin, Malus Fructus (Apple) Extract, Leuconostoc/Radish Root Ferment Filtrate, Populus Tremuloides (Aspen) Bark Extract, Salix Nigra (Willow) Bark Extract, Terminalia Ferdinandiana Fruit Extract (Kakadu Plum), Vaccinium Myrtillus, (Bilberry) Extract, Saccharum Officinarum (Sugar Cane) Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract.",1,1,1,1,0
Face Mask,SEPHORA COLLECTION,Clay Mask,8,4.3,"Water, Kaolin, Talc, Steareth-2, Shea Butter, Fuller's Earth, Hydrogenated Polyisobutene, Butylene Glycol, Stearic Acid, CI 77891 (Titanium Dioxide), Glycerin, Cetearyl Alcohol, Steareth-21, Ethylhexyl Stearate, Luffa Cylindrica Fruit Powder, Phenoxyethanol, PPG-15 Stearyl Ether, Benzophenone-4, Xanthan Gum, Disodium EDTA, Enantia Chlorantha Bark Extract, Fragrance, Ethylhexylglycerin, Benzyl Salicylate, Camellia Sinensis Leaf Extract, Citric Acid, CI 77492 (Iron Oxides), Sodium Benzoate, Potassium Sorbate, Oleanolic Acid, Denatonium Benzoate, CI 42090 (Blue 1), BHT, CI 19140 (Yellow 5), Tocopherol.",1,1,1,1,1
Face Mask,FIRST AID BEAUTY,Hello FAB Ginger & Turmeric Vitamin C Jelly Mask,32,4.4,"Water, Butylene Glycol, Carbomer, Curcuma Longa (Turmeric) Root Extract, Selaginella Lepidophylla Extract, Zingiber Officinale (Ginger) Root Extract, Ascorbyl Glucoside, Beta Vulgaris (Beet) Root Extract (Extrait de Racine de Betterave), Glycyrrhiza Glabra (Licorice) Root Extract, Chrysanthemum Parthenium (Feverfew) Extract, Camellia Sinensis Leaf Extract, Alteromonas Ferment Filtrate, Glycerin, Hydrolyzed Corn Starch, Allantoin, Sodium PCA, Zingiber Officinale (Ginger) Root Oil, Thymus Vulgaris (Thyme) Flower/Leaf Oil, Myrtus Communis Oil, Eugenia Caryophyllus (Clove) Bud Oil, Eucalyptus Globulus Leaf Oil, Elettaria Cardamomum Seed Oil, Eugenia Caryophyllus (Clove) Leaf Oil, Citrus Limon (Lemon) Peel Oil, Citrus Aurantifolia (Lime) Oil, Biosaccharide Gum-1, Lactic Acid, P-Anisic Acid, Phenoxyethanol, Disodium EDTA, Lactobacillus Ferment, Sorbitan Oleate Decylglucoside Crosspolymer, Citric Acid, Sodium Hydroxide, Potassium Hydroxide, Terpineol Acetate, Linalyl Acetate, Geranyl Acetate, CI 75120 (Annatto).",1,1,1,1,1
Eye cream,AMOREPACIFIC,Intensive Vitalizing Eye Essence,95,3.9,"Camellia Sinensis Leaf Water, Butylene Glycol, Glycerin, Glycereth-26, Avena Sativa (Oat) Kernel Extract, Alcohol, Methyl Trimethicone, Diethoxyethyl Succinate, Glyceryl Polymethacrylate, Water, Camellia Sinensis Leaf Extract, Niacinamide, Aspergillus Ferment, Lactobacillus/Water Hyacinth Ferment, Caffeine, Mannitol, Hydrogenated Lecithin, Bis-Peg-18 Methyl Ether Dimethyl Silane, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Peg-60 Hydrogenated Castor Oil, Caprylic/Capric Triglyceride, Behenyl Alcohol, Polyglyceryl-10 Pentastearate, Cetearyl Alcohol, Sodium Stearoyl Lactylate, Cetearyl Glucoside, Ethylhexylglycerin, Caprylyl Glycol, Glyceryl Caprylate, Tromethamine, Disodium Edta, Phenoxyethanol, Fragrance.",1,1,1,1,1
Cleanser,INDIE LEE,Brightening Cleanser,32,4.4,"Water, Decyl Glucoside (Veg. Oils & Sugar), Disodium Coco-Glucoside Citrate, Coco Glucoside (Coconut and Sunflower Oil), Glyceryl Oleate, Hydrolyzed Wheat Protein, Xanthan Gum, Fragaria Chiloensis (Strawberry) Seed Oil, Lycopene (Tomato), Propanediol, Ethylhexylglycerin, Potassium Sorbate.",1,1,1,1,1
Eye cream,BOSCIA,Sake Brightening Bio-Cellulose Eye Masks,15,1.8,"Water, Glycerin, Butylene Glycol, Glycereth-26, Niacinamide, Methyl Gluceth-20, 1, 2-Hexanediol, Hydroxyacetophenone, Hydroxyethyl Urea, Cocos Nucifera (Coconut) Fruit Juice, Cocos Nucifera (Coconut) Water, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyglyceryl-10 Laurate, Adenosine, Carbomer, Arginine, Persea Gratissima (Avocado) Fruit Extract, Maltodextrin, Chenopodium Quinoa Seed Extract, Daucus Carota Sativa (Carrot) Root Extract, Lavandula Angustifolia (Lavender) Oil, Aspergillus/Rice Ferment Extract, Sodium Hyaluronate, Oryza Sativa (Rice) Bran Extract, Linolenic Acid. .",1,1,1,1,1
Face Mask,SEPHORA COLLECTION,SUPERMASK - The Primer Mask,6,4.2,"Water, Glycerin, Ethylhexyl Stearate, Methylpropanediol, Caprylic/Capric Triglyceride, Niacinamide, Xylitylglucoside, PEG-450, CI 77891 (Titanium Dioxide), Anhydroxylitol, Cetearyl Alcohol, Glyceryl Stearate, Hydroxyacetophenone, Xylitol, Caprylic/Capric Glycerides, Panthenol, Carbomer, Glucose, Allantoin, Tromethamine, Xanthan Gum, Polymethylsilsesquioxane, Butylene Glycol, Fragrance, Tocopheryl Acetate, Silica, Ethylhexylglycerin, Chondrus Crispus (Carrageenan) Extract, 1,2-Hexanediol, Dipotassium Glycyrrhizate, Lonicera Japonica Flower Extract (Lonicera Japonica (Honeysuckle) Flower), Disodium EDTA, Phenoxyethanol, Lonicera Caprifolium (Honeysuckle) Flower Extract, Gossypium Herbaceum (Cotton) Extract, Mica, Althaea Rosea Flower Extract, CI 17200 (Red 33), Potassium Sorbate, Sodium Benzoate, Citric Acid.",1,1,1,1,1
Face Mask,SEPHORA COLLECTION,Face Mask - Algae - Detoxifying,6,4.3,"Water, Butylene Glycol, Glycerin, Betaine, Caulerpa Lentillifera Extract, 1,2-Hexanediol, Hydroxyacetophenone, Xanthan Gum, Lecithin, Salix Alba (Willow) Bark Extract, Parfum (Fragrance), Phenoxyethanol, Bakuchiol, Magnolia Officinalis Flower Extract, Fucus Vesiculosus Extract, Limonene, Porphyra Umbilicalis Extract, Sodium Benzoate, Citric Acid, Potassium Sorbate, Sodium Lactate.",1,1,1,1,1
Moisturizer,DR. JART+,Cicapair™ Tiger Grass Cream,48,4.3,"Water, Propanediol, Centellaasiaticaleafwater, Butylene Glycol, Caprylic/Ca- Prictriglyceride, Panthenol, Diisostearylmalate, Polyglyceryl-3 Methylglucose Dis- Tearate, Butyrospermum Parkii (Shea) Bu-Tter, Glycerylstearate, Niacinamide, Mac- Adamiaternifolia Seed Oil, Cetearyl Alco-Hol, Hydrogenatedpoly(C6-14 Olefin), Hy- Drogenated Polydecene, Hydrogenatedpolyisobutene, 1, 2-Hexanediol, PEG-8, PEG-100 Stearate, Polyacrylate-13, Palm-Iticacid, Tocopherylacetate, Beeswax/Cire D'abeille, Glycerin, Stearicacid, Phe-Noxyethanol, Polyisobutene, Asiaticoside, Carbomer, Tromethamine, Madecassic A-Cid, Asiaticacid, Spirulina Platensispow- Der, Alcohol, Polysorbate20, Ethylhexylgl-Ycerin, Lavandulaangustifolia (Lavender) Oil, Sorbitan Isostearate, Adenosine, Cer-Amidenp, Citrusgrandis (Grapefruit) Peel Oil, Hydrogenatedlecithin, Disodium EDTA, Rosmarinus Officinalis (Rosemary) Leafoil, Anthemisnobilis Flower Oil, Sodiumhya-Luronate, Centellaasiatica Extract, Theob-Roma Cacao (Cocoa) Extract, Dextrin, Ho- Uttuyniacordataextract, Anibarosodora (Rosewood)Wood Oil, Centella Asiaticameristem Cell Culture, Madecassoside, Citric Acid, Achillea Millefolium Extract, Ar-Temisia Absinthium Extract, Arnicamonta-Na Flower Extract, Gentiana Lutearoot Extract, Sucrose Laurate, Sodium Glycero-Phosphate, Selaginella Lepidophylla Extr- Act, Potassiummagnesiumaspartate, Ly-Solecithin, Magnesiumgluconate, Calciumgluconate, Potassium Sorbate, Sodiumascorbylphosphate, Sodiumbenzoate, Xanthan Gum.",1,1,1,1,1
Treatment,DRUNK ELEPHANT,D-Bronzi™ Anti-Pollution Sunshine Drops,36,4.5,"Water, Hydrogenated Polyisobutene, Glyceryl Oleate Citrate, Mica, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glycerin, Ribes Nigrum (Black Currant) Seed Oil, Sclerocarya Birrea Seed Oil, Theobroma Cacao (Cocoa) Extract, Caprylic/Capric Triglyceride, Vitis Vinifera (Grape) Seed Extract, Lecithin, Acetyl Tetrapeptide-17, Linoleic Acid, Linolenic Acid, Sorbitan Isostearate, Camellia Sinensis Leaf Extract, Maltodextrin, Sodium Hyaluronate Crosspolymer, Magnolia Officinalis Bark Extract, Glutamylamidoethyl Imidazole, Colloidal Platinum [nano], Tocopherol, Phenoxyethanol, Pentylene Glycol, Sodium Benzoate, Sorbic Acid, Caprylyl Glycol, Boron Nitride, Hexylene Glycol, Polysorbate 60, Ethylhexylglycerin, CI 77491 (Iron Oxides), CI 77492 (Iron Oxides), CI 77499 (Iron Oxides), Sodium C14-16 Olefin Sulfonate.",1,1,1,1,0
Face Mask,OMOROVICZA,Deep Cleansing Mask,120,4.3,"Hungarian Thermal Water, Kaolin, Glycerin, Cetearyl Alcohol, Silt (Hungarian Mud), Stearic Acid, Cetearyl Olivate, Zinc Oxide, Phenoxyethanol, Sorbitan Olivate, Mannitol, Malpighia Punicifolia (Acerola) Fruit Extract, Saccharomyces (Hungarian Thermal Water) Ferment Extract, Tocopherol, Ethylhexylglycerin, Sodium Hydroxide, Fragrance, Yeast Extract, Phospholipids, Linalool, Limonene, Citronellol, Geraniol.",1,1,1,1,0
